sample	fc_id	run_id	num_reads	num_bases	num_bases_post_trimming	depth	frac_perfect_idx	frac_Q30
NA12878_H5CYKCCXX	H5CYKCCXX	150521_ST-E00195_0094_BH5CYKCCXX	435574146	131543392092	130360841963	43.45361398766667	0.0017182608446186336	0.879564595096347
NA12878_H5GGWCCXX	H5GGWCCXX	150521_ST-E00257_0073_AH5GGWCCXX	487042181	147086738662	145665070904	48.55502363466667	0.0009541288580916567	0.8090187138246931
NA12878_H5GT5CCXX	H5GT5CCXX	150522_ST-E00137_0147_BH5GT5CCXX	467495606	141183673012	139889455306	46.629818435333334	0.0010846069855895073	0.8437742154708973
NA12878_H5GTGCCXX	H5GTGCCXX	150522_ST-E00124_0143_AH5GTGCCXX	465362624	140539512448	139248994394	46.41633146466666	0.0008243528384436822	0.8649520161952852
NA12878_H7C7GCCXX	H7C7GCCXX	150721_ST-E00105_0251_BH7C7GCCXX	461962380	139512638760	138759718050	46.25323935	0.002621308687516936	0.7688688414784306
NA12878_H7CTJCCXX	H7CTJCCXX	150717_ST-E00111_0196_BH7CTJCCXX	498789033	150634287966	149962567111	49.98752237033333	0.0018653497539910825	0.8369018212736179
NA12878_H7CTMCCXX	H7CTMCCXX	150717_ST-E00311_0047_AH7CTMCCXX	477760075	144283542650	143441373118	47.81379103933334	0.0015191474507366485	0.7799790732058243
NA12878_H7KGCCCXX	H7KGCCCXX	150717_ST-E00145_0151_AH7KGCCCXX	548170360	165547448720	164784121262	54.92804042066667	0.001888611781198823	0.787411439613758
NA12878_H7KGHCCXX	H7KGHCCXX	150717_ST-E00157_0149_BH7KGHCCXX	456307111	137804747522	137071462569	45.690487523	0.0018276813573479462	0.7793641753079223
NA12878_H7KJGCCXX	H7KJGCCXX	150717_ST-E00182_0172_AH7KJGCCXX	549942755	166082712010	165177347962	55.05911598733334	0.0009957290918397497	0.7859711844911366
NA12878_HC2LVCCXX	HC2LVCCXX	150811_ST-E00225_0120_BHC2LVCCXX	509687011	153925477322	153095968406	51.031989468666666	0.0015323011635468183	0.8682947223896474
